id,image_path,description,category_title,civic_agency_title
1,http://mapunitygroups.com//uploads/tmp/1473912956-2259-2787/1473912810173.jpg,Never gets cleared,,
2,http://mapunitygroups.com//uploads/tmp/1473922493-2259-8202/1473922389394.jpg,"Gets cleared but comes back, This is mainly leaf litter",,
3,http://mapunitygroups.com//uploads/tmp/1473923287-2259-5532/1473923229296.jpg,Gets cleared but comes back,,
4,http://mapunitygroups.com//uploads/tmp/1473923763-2259-7165/1473923663747.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back, This is mainly leaf litter",,
5,http://mapunitygroups.com//uploads/tmp/1473937576-2259-1125/1473937540829.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back, BBMP auto/pushcart is parked here",,
6,http://mapunitygroups.com//uploads/tmp/1474003004-2259-7959/1474002934545.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back, BBMP auto/pushcart is parked here",,
7,http://mapunitygroups.com//uploads/tmp/1474003420-2259-5655/1474003380257.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back",,
8,http://mapunitygroups.com//uploads/tmp/1474003638-2259-2867/1474003593365.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back, Garbage is burnt here regularly, This is a ward boundary area",,
9,http://mapunitygroups.com//uploads/tmp/1474003736-2259-9950/1474003703861.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back",,
10,http://mapunitygroups.com//uploads/tmp/1474018689-2259-6074/1474018653602.jpg,,,
11,http://mapunitygroups.com//uploads/tmp/1471763234-2005-8209/IMG_20160821_123558.jpg,Gets cleared but comes back,,
12,http://mapunitygroups.com//uploads/tmp/1471872681-2005-9134/Untitled.png,BBMP/ sweepers dump waste here,,
13,http://mapunitygroups.com//uploads/tmp/1471872832-2005-3700/Untitled1.png,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly",,
14,http://mapunitygroups.com//uploads/tmp/1471873001-2005-1305/thumb_IMG_9750_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly",,
15,http://mapunitygroups.com//uploads/tmp/1471873195-2005-3667/thumb_IMG_9744_1024.jpg,"BBMP/ sweepers dump waste here, Garbage is burnt here regularly, BBMP auto/pushcart is parked here",,
16,http://mapunitygroups.com//uploads/tmp/1471874444-2005-1986/Untitled.png,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly",,
17,http://mapunitygroups.com//uploads/tmp/1471874706-2005-5544/thumb_IMG_9747_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",,
18,http://mapunitygroups.com//uploads/tmp/1471874861-2005-9404/thumb_IMG_9748_1024.jpg,"Gets cleared daily but comes back, It's a lorry transfer point, BBMP/ sweepers dump waste here, BBMP auto/pushcart is parked here",,
19,http://mapunitygroups.com//uploads/tmp/1471875055-2005-0299/thumb_IMG_9749_1024.jpg,Gets cleared daily but comes back,,
20,http://mapunitygroups.com//uploads/tmp/1471875196-2005-9413/thumb_IMG_9751_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",,
21,http://mapunitygroups.com//uploads/tmp/1471875346-2005-7567/Untitled.png,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",,
22,http://mapunitygroups.com//uploads/tmp/1471875457-28941-1403/Untitled.png,Gets cleared daily but comes back,,
23,http://mapunitygroups.com//uploads/tmp/1471875614-2005-6895/Untitled.png,"Gets cleared daily but comes back, Garbage is burnt here regularly",,
24,http://mapunitygroups.com//uploads/tmp/1471875770-2005-2758/thumb_IMG_9755_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly",,
