created_at,ward_id,title,description,sub_category_id,civic_agency_id,location,address,latitude,longitude,ward_title,category_id,category_title,sub_category_title,civic_agency_title
2/13/2019 8:51,85,Mud piled up on the both sides of the road but not collected.,Mud and debris is piled up on the sides of the road and both sides of the divider by BBMP contractors for pick up for three weeks now. This mud then gets back again to the same place on the road due to vehicle movement causing huge pollution. Money is paid to contractors to collect the mud on the road but seems they are not paid to collect it and take it away.,66,10.0,"3, 9Th Main Rd, Kundalahalli Colony, Brookefield, Bengaluru, Karnataka 560048, India",Near Hanuman Temple,12.97199815,77.7118941,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP
1/27/2019 18:17,85,"Debris dumping, slums and open defecation","There is a lot of Debris dumping, slums and open defecation by children living in slums in Balaji Enclave ,near Bharathi Towers, Doddanekundi, Bangalore 560037",155,10.0,"Balaji Enclave, 2Nd A Main Rd, Vibhutipura Extension, Balaji Enclive, Doddanekundi, Bengaluru, Karnataka 560037, India","Near Bharathi Towers, 2A Balaji Enclave",12.9702349,77.6912164,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP
6/25/2020 8:55,85,Tree branches and garbage dump not picked up,Tree branches and garbage dump not picked up From several weeks. This is causing mosquitoes to breed. Can Bbmp send someone to clear the garbage? Usual garbage pick up guys are denying that its their job and some one else should do it.,155,10.0,"4Th Main Rd, Aecs Layout - D Block, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",Opposite Cricket ground,12.9609724,77.7096311,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP
2/27/2021 23:33,85,Extremely Poor Roads and Non-existent footpaths,"Entire 60 feet road in AECS Layout, Kundalahalli is in very very bad shape. There are no footpaths on road, in fact there is no road for that matter. This road can be made so amazing, there are very good stores on that road, and it can be made like a beautiful walkway shopping type street.",61,10.0,"60 Feet Rd, Aecs Layout - D Block, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",Full 60 feet road,12.9605584,77.71375,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Construction of new footpaths,BBMP
7/22/2019 15:58,85,Drainage Block &amp; Mosquito Menace,"THe drainage system in front of our apartment is never cleaned and water is blocked there all the time and it is completely infected with mosquitoes. 

Many people in our apartment has got Dengue due to mosquitos. Kindly clean the drainage in front of MV Residency and kindly help us to keep a healthy environment

Also during rainy season, the water in the drainage system is overfloawing and road is getting blocked. Kindly get it cleared and cleaned

Thanking you

Mathew T Selvin",155,10.0,"Unnamed Road, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037, India",MV Residency,12.965057,77.721773,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP
2/28/2019 8:44,85,"So many fishes are died in D block, kundahalli lake","So many fishes are died in D block, kundahalli lake",77,10.0,"924, 7Th Main Rd, Aecs Layout - C Block, Aecs Layout, Brookefield, Bengaluru, Karnataka 560037, India",,12.9600887,77.7094814,Dodda Nekkundi,19,Animal Husbandry,Stray Dog Sterilisation/Animal Birth Control (ABC),BBMP
2/17/2019 22:36,85,Too many stray dogs. unable to sleep at night due to barking soun...,Too many stray dogs. unable to sleep at night due to barking sound,77,10.0,"Plot 7&8, Mv Dwelling, Sri Nivasa Reddy Layout, Aecs Layout, Brookefield, Bengaluru, Karnataka 560037, India",,12.9652082,77.7096825,Dodda Nekkundi,19,Animal Husbandry,Stray Dog Sterilisation/Animal Birth Control (ABC),BBMP
08-03-2021 18:00,85,Road is not done completely,Lot of bumpy road not done completely,67,10.0,"Ground Floor Jp Homes, Govind, Nagappa Reddy Layout Rd, Silver Springs Layout, Munnekollal, Bengaluru, Karnataka 560066, India",Near vibgyor school road,12.9515347,77.7169278,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP
11/21/2021 23:19,85,"There is no proper library in Whitefield/ITPL.
Please construct o...","There is no proper library in Whitefield/ITPL.
Please construct one Library to increase awareness and knowledge.
There is lot of open area where library can be constructed in the ITPL area.",390,10.0,"Epip Zone Whitefield Road, Phase 2, Brookefield, Bengaluru, Karnataka, India",,12.9725321,77.7175674,Dodda Nekkundi,382,Community Infrastructure and Services,Construction Of Educational Institutions And Libraries,BBMP
05-10-2019 14:05,85,Too much of mosquitoes in the neighborhood... need an immediate m...,Too much of mosquitoes in the neighborhood... need an immediate mosquito spray to be done in the colony.,78,10.0,"Aecs Layout - D Block, Aecs Layout, Marathahalli, Bengaluru, Karnataka, India",,12.9621948,77.7115841,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Fogging (Mosquito Menace) Or Pest Control,BBMP
2/29/2020 6:22,85,"Install traffic lights , it's very difficult for people to cross...","Install traffic lights , it's very difficult for people to cross the road",374,5.0,"F6 Fitness Planet, Aecs Layout - A Block, Aecs Layout, Kundanahalli, Bengaluru, Karnataka, India",,12.9642549,77.713129,Dodda Nekkundi,21,Traffic and Road Safety,Installation Of Traffic or Pedestrain Lights,BTP
02-03-2019 11:30,85,Provided hump not as per standard,"Height of the hump is more and during vehicle crossing, vehicle bottom is touching the hump. Same type of hump provided in two location on same road.",66,10.0,"3Rd Main Rd, Doddanakundi Industrial Area 2, Phase 1, Doddanekkundi, Bengaluru, Karnataka 560048, India","3rd main road, whitefield bypass road",12.97512345,77.7068334,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP
3/17/2020 11:52,85,No water supply,"There is no cavery water supply in pragathi layout doddanekundi from past 15 days .
No proper response from BWSSB.
The water tanker load in high demand. 
So whom should we ask for this?",182,2.0,"Shop No 2,1St Cross ,chinappanahalli,doddnakundi Extension ,opp Mariyamma Temple Bangalore Karnataka 560037 In, 21St Cross Rd, Pragathi Layout, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037, India",Railway undepass,12.9752111,77.6941473,Dodda Nekkundi,23,Water Supply and Services,Regular Water Supply,BWSSB
6/13/2020 18:17,85,Past 2- 3 days some tractorand JCBs has been coming and dymp some...,Past 2- 3 days some tractorand JCBs has been coming and dymp some garbage and contruction wastaged. Now its almost cover  our apatment wall boundary and if again they are dump then its go beyond them. So many time I complaint regarding this ..but no one come to resolve this. Now raining also started and ws all know dengue problem in bangaluru. Last year most of members in apartment got dengue.. Now its high time to resolve this problem. I request concern deparment ..plz take this issue serioully.,155,10.0,"662, 1St Main Rd, Aecs Layout - D Block, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",,12.9633846,77.7107829,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP
6/23/2019 22:11,85,Roads are worst,Roads are highly damage. They are worse and all the  vehicles are getting stuck. Kindly take this request on urgent basis and resolve as soon as possible.,343,10.0,"2Nd Cross Rd, Sri Nivasa Reddy Layout, Aecs Layout, Brookefield, Bengaluru, Karnataka 560037, India",Aecs A block,12.9656142,77.7119981,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Construction Of Roadside Drains,BBMP
11/20/2021 13:45,85,Very poor road. pls tarr it,Very poor road. pls tarr it,352,10.0,"176, Epip Zone, Whitefield, Bengaluru, Karnataka 560066, India",,12.96485773,77.70942708,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Mud/Kutcha/Unpaved Road,BBMP
3/19/2019 8:47,85,Garbage,"There is garbage every where , only if I complain that week people will come to pick up , then next what will happen",155,10.0,"Varthur Rd, Near Marathahalli Flyover, Lakshminarayana Pura, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India","Railway track , next to purva fountain and lions hospital",12.9584823,77.7056738,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP
8/22/2020 14:55,85,Untreatable Loud noise by fighter plains and helicopters,"Fighter plans and helicopters roaming at very low altitude making lots noise every 10-45 minutes. 

Request to observe the noise level created",46,7.0,"560037, 3Rd Cross Rd, Vaikuntam Layout, Lakshminarayana Pura, Kundalahalli, Munnekollal, Bengaluru, Karnataka 560037, India",Karuna nidhi hospital,12.9586444,77.7126707,Dodda Nekkundi,11,Pollution,Noise Pollution,KSPCB
8/19/2019 19:59,85,"Street lights are not working, the road is very dark after evenin...","Street lights are not working, the road is very dark after evening and feels very dangerous to commute after dark hours",62,10.0,"St Baselios Orthodox Church, Outer Ring Road, Aswath Nagar, Chinnapanna Halli, Chinnapanahalli, Karnataka, India",,12.9644932,77.7014323,Dodda Nekkundi,470,Streetlights,Maintenance/Repair Of Streetlights,BBMP
11-08-2019 17:39,85,Request for Road Repair(Please Help),"Hello All,
The Vibgyor School Road in Thubrahalli, Munnekollal is very bad.

This is the only way to Vibgyor School and many Apartments, Restaurants and Pg's.

Thousands of people use this road to reach home every day.

The road is really bad ,Help people/School Children living in this area to travel safe.

Many people fell on this road every day, Met with accidents, Car damages. Water leak, Mosquitoes and many more. request you to kindly visit the place and lay the road immediately. 

Hope you understand the problems facing by the people here.

Thank you.",56,10.0,"Vibgyor High School Rd, Silver Springs Layout, Brookefield, Bengaluru, Karnataka 560066, India","Vibgyor School Road, Thubrahalli",12.95429491,77.71738888,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Flooding/Waterlogging Of Roads And Footpaths,BBMP
01-11-2020 10:42,85,Garbage not collected since 12 days,The garbage at our house has not been Collected since close to two weeks today. Garbage has piled up near our gate. looks very shabby . Please help.,155,10.0,"Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",Opposite Narayana multi speciality clinic,12.9629354,77.7122996,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP
11/20/2021 14:07,85,Road completelg destroyed. pls asphalt,Road completelg destroyed. pls asphalt,67,10.0,"240, 1St Main Rd, Sri Nivasa Reddy Layout, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",,12.9641302,77.7104997,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP
